freqmid,freqw,MAE,RMSE,freqhi_actual,freqlo_actual,freqmid_actual,freqw_actual,fsv,nsv,r2
20.0,20.0,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
20.0,22.973967099940698,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
20.0,26.390158215457884,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
20.0,30.314331330207963,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
20.0,34.822022531844965,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
20.0,40.0,2.343263862492864,3.2624352962148437,21.533203125,0.0,10.7666015625,21.533203125,0.8238258877434135,3596.0,0.6788681301233963
20.0,45.9479341998814,,,,,,,,,
20.0,52.78031643091579,,,,,,,,,
20.0,60.62866266041593,,,,,,,,,
20.0,69.64404506368992,,,,,,,,,
20.0,80.0,,,,,,,,,
20.0,91.8958683997628,,,,,,,,,
20.0,105.56063286183158,,,,,,,,,
20.0,121.25732532083185,,,,,,,,,
20.0,139.2880901273799,,,,,,,,,
20.0,160.0,,,,,,,,,
20.0,183.7917367995256,,,,,,,,,
20.0,211.12126572366316,,,,,,,,,
20.0,242.51465064166365,,,,,,,,,
20.0,278.57618025475983,,,,,,,,,
20.0,320.0,,,,,,,,,
20.0,367.5834735990512,,,,,,,,,
20.0,422.2425314473263,,,,,,,,,
20.0,485.0293012833276,,,,,,,,,
20.0,557.1523605095197,,,,,,,,,
20.0,640.0,,,,,,,,,
20.0,735.1669471981024,,,,,,,,,
20.0,844.4850628946526,,,,,,,,,
20.0,970.0586025666552,,,,,,,,,
20.0,1114.3047210190393,,,,,,,,,
20.0,1280.0,,,,,,,,,
20.0,1470.3338943962049,,,,,,,,,
20.0,1688.9701257893053,,,,,,,,,
20.0,1940.1172051333103,,,,,,,,,
20.0,2228.6094420380787,,,,,,,,,
20.0,2560.0,,,,,,,,,
20.0,2940.667788792408,,,,,,,,,
20.0,3377.9402515786105,,,,,,,,,
20.0,3880.234410266623,,,,,,,,,
20.0,4457.218884076157,,,,,,,,,
20.0,5120.0,,,,,,,,,
20.0,5881.335577584823,,,,,,,,,
20.0,6755.880503157221,,,,,,,,,
20.0,7760.468820533237,,,,,,,,,
20.0,8914.437768152315,,,,,,,,,
20.0,10240.0,,,,,,,,,
20.0,11762.671155169646,,,,,,,,,
20.0,13511.761006314442,,,,,,,,,
20.0,15520.937641066492,,,,,,,,,
20.0,17828.87553630463,,,,,,,,,
20.0,20480.0,,,,,,,,,
22.973967099940698,20.0,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
22.973967099940698,22.973967099940698,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
22.973967099940698,26.390158215457884,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
22.973967099940698,30.314331330207963,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
22.973967099940698,34.822022531844965,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
22.973967099940698,40.0,2.4326626471872657,3.3864780804172674,21.533203125,21.533203125,21.533203125,0.0,0.8490263459335624,3706.0,0.6539840394891642
22.973967099940698,45.9479341998814,,,,,,,,,
22.973967099940698,52.78031643091579,,,,,,,,,
22.973967099940698,60.62866266041593,,,,,,,,,
22.973967099940698,69.64404506368992,,,,,,,,,
22.973967099940698,80.0,,,,,,,,,
22.973967099940698,91.8958683997628,,,,,,,,,
22.973967099940698,105.56063286183158,,,,,,,,,
22.973967099940698,121.25732532083185,,,,,,,,,
22.973967099940698,139.2880901273799,,,,,,,,,
22.973967099940698,160.0,,,,,,,,,
22.973967099940698,183.7917367995256,,,,,,,,,
22.973967099940698,211.12126572366316,,,,,,,,,
22.973967099940698,242.51465064166365,,,,,,,,,
22.973967099940698,278.57618025475983,,,,,,,,,
22.973967099940698,320.0,,,,,,,,,
22.973967099940698,367.5834735990512,,,,,,,,,
22.973967099940698,422.2425314473263,,,,,,,,,
22.973967099940698,485.0293012833276,,,,,,,,,
22.973967099940698,557.1523605095197,,,,,,,,,
22.973967099940698,640.0,,,,,,,,,
22.973967099940698,735.1669471981024,,,,,,,,,
22.973967099940698,844.4850628946526,,,,,,,,,
22.973967099940698,970.0586025666552,,,,,,,,,
22.973967099940698,1114.3047210190393,,,,,,,,,
22.973967099940698,1280.0,,,,,,,,,
22.973967099940698,1470.3338943962049,,,,,,,,,
22.973967099940698,1688.9701257893053,,,,,,,,,
22.973967099940698,1940.1172051333103,,,,,,,,,
22.973967099940698,2228.6094420380787,,,,,,,,,
22.973967099940698,2560.0,,,,,,,,,
22.973967099940698,2940.667788792408,,,,,,,,,
22.973967099940698,3377.9402515786105,,,,,,,,,
22.973967099940698,3880.234410266623,,,,,,,,,
22.973967099940698,4457.218884076157,,,,,,,,,
22.973967099940698,5120.0,,,,,,,,,
22.973967099940698,5881.335577584823,,,,,,,,,
22.973967099940698,6755.880503157221,,,,,,,,,
22.973967099940698,7760.468820533237,,,,,,,,,
